	sent_index	word_index	word	region	condition
0	0	0	The	np	match_obj
1	0	1	actress	np	match_obj
2	0	2	insulted	verb	match_obj
3	0	3	her	match	match_obj
4	0	4	friends	obj	match_obj
5	0	6	.	End	match_obj
6	0	7	<eos>	End	match_obj
7	1	0	The	np	match_obj
8	1	1	bride	np	match_obj
9	1	2	invited	verb	match_obj
10	1	3	her	match	match_obj
11	1	4	family	obj	match_obj
12	1	6	.	End	match_obj
13	1	7	<eos>	End	match_obj
14	2	0	The	np	match_obj
15	2	1	countess	np	match_obj
16	2	2	advised	verb	match_obj
17	2	3	her	match	match_obj
18	2	4	husband	obj	match_obj
19	2	6	.	End	match_obj
20	2	7	<eos>	End	match_obj
21	3	0	My	np	match_obj
22	3	1	wife	np	match_obj
23	3	2	called	verb	match_obj
24	3	3	her	match	match_obj
25	3	4	mother	obj	match_obj
26	3	6	.	End	match_obj
27	3	7	<eos>	End	match_obj
28	4	0	The	np	match_obj
29	4	1	witch	np	match_obj
30	4	2	cursed	verb	match_obj
31	4	3	her	match	match_obj
32	4	4	enemies	obj	match_obj
33	4	6	.	End	match_obj
34	4	7	<eos>	End	match_obj
35	5	0	The	np	match_obj
36	5	1	goddess	np	match_obj
37	5	2	preached	verb	match_obj
38	5	3	to	verb	match_obj
39	5	4	her	match	match_obj
40	5	5	worshipers	obj	match_obj
41	5	7	.	End	match_obj
42	5	8	<eos>	End	match_obj
43	6	0	My	np	match_obj
44	6	1	aunt	np	match_obj
45	6	2	fought	verb	match_obj
46	6	3	with	verb	match_obj
47	6	4	her	match	match_obj
48	6	5	husband	obj	match_obj
49	6	7	.	End	match_obj
50	6	8	<eos>	End	match_obj
51	7	0	The	np	match_obj
52	7	1	lady	np	match_obj
53	7	2	visited	verb	match_obj
54	7	3	her	match	match_obj
55	7	4	family	obj	match_obj
56	7	6	.	End	match_obj
57	7	7	<eos>	End	match_obj
58	8	0	The	np	match_obj
59	8	1	princess	np	match_obj
60	8	2	questioned	verb	match_obj
61	8	3	her	match	match_obj
62	8	4	maid	obj	match_obj
63	8	6	.	End	match_obj
64	8	7	<eos>	End	match_obj
65	9	0	The	np	match_obj
66	9	1	girl	np	match_obj
67	9	2	met	verb	match_obj
68	9	3	her	match	match_obj
69	9	4	friends	obj	match_obj
70	9	6	.	End	match_obj
71	9	7	<eos>	End	match_obj
72	10	0	The	np	match_obj
73	10	1	queen	np	match_obj
74	10	2	commanded	verb	match_obj
75	10	3	her	match	match_obj
76	10	4	generals	obj	match_obj
77	10	6	.	End	match_obj
78	10	7	<eos>	End	match_obj
79	11	0	Your	np	match_obj
80	11	1	mother	np	match_obj
81	11	2	gossiped	verb	match_obj
82	11	3	with	verb	match_obj
83	11	4	her	match	match_obj
84	11	5	acquaintances	obj	match_obj
85	11	7	.	End	match_obj
86	11	8	<eos>	End	match_obj
87	12	0	The	np	match_obj
