	sent_index	word_index	word	region	condition
0	0	0	The	np	match_null
1	0	1	actress	np	match_null
2	0	2	said	verb	match_null
3	0	3	they	embed-verb	match_null
4	0	4	fired	embed-verb	match_null
5	0	5	her	match	match_null
6	0	6	friend	object	match_null
7	0	8	.	End	match_null
8	0	9	<eos>	End	match_null
9	1	0	The	np	match_null
10	1	1	bride	np	match_null
11	1	2	knows	verb	match_null
12	1	3	they	embed-verb	match_null
13	1	4	followed	embed-verb	match_null
14	1	5	her	match	match_null
15	1	6	advice	object	match_null
16	1	8	.	End	match_null
17	1	9	<eos>	End	match_null
18	2	0	The	np	match_null
19	2	1	countess	np	match_null
20	2	2	said	verb	match_null
21	2	3	they	embed-verb	match_null
22	2	4	obeyed	embed-verb	match_null
23	2	5	her	match	match_null
24	2	6	orders	object	match_null
25	2	8	.	End	match_null
26	2	9	<eos>	End	match_null
27	3	0	My	np	match_null
28	3	1	wife	np	match_null
29	3	2	knows	verb	match_null
30	3	3	they	embed-verb	match_null
31	3	4	liked	embed-verb	match_null
32	3	5	her	match	match_null
33	3	6	recipe	object	match_null
34	3	8	.	End	match_null
35	3	9	<eos>	End	match_null
36	4	0	The	np	match_null
37	4	1	witch	np	match_null
38	4	2	guessed	verb	match_null
39	4	3	the	embed-verb	match_null
40	4	4	drank	embed-verb	match_null
41	4	5	her	match	match_null
42	4	6	potion	object	match_null
43	4	8	.	End	match_null
44	4	9	<eos>	End	match_null
45	5	0	The	np	match_null
46	5	1	goddess	np	match_null
47	5	2	thinks	verb	match_null
48	5	3	they	embed-verb	match_null
49	5	4	worshiped	embed-verb	match_null
50	5	5	her	match	match_null
51	5	6	likeness	object	match_null
52	5	8	.	End	match_null
53	5	9	<eos>	End	match_null
54	6	0	My	np	match_null
55	6	1	aunt	np	match_null
56	6	2	remembers	verb	match_null
57	6	3	they	embed-verb	match_null
58	6	4	devoured	embed-verb	match_null
59	6	5	her	match	match_null
60	6	6	cake	object	match_null
61	6	8	.	End	match_null
62	6	9	<eos>	End	match_null
63	7	0	The	np	match_null
64	7	1	lady	np	match_null
65	7	2	knows	verb	match_null
66	7	3	they	embed-verb	match_null
67	7	4	complimented	embed-verb	match_null
68	7	5	her	match	match_null
69	7	6	dress	object	match_null
70	7	8	.	End	match_null
71	7	9	<eos>	End	match_null
72	8	0	The	np	match_null
73	8	1	princess	np	match_null
74	8	2	recalls	verb	match_null
75	8	3	they	embed-verb	match_null
76	8	4	stole	embed-verb	match_null
77	8	5	her	match	match_null
78	8	6	jewels	object	match_null
79	8	8	.	End	match_null
80	8	9	<eos>	End	match_null
81	9	0	The	np	match_null
82	9	1	girl	np	match_null
83	9	2	knows	verb	match_null
84	9	3	they	embed-verb	match_null
85	9	4	liked	embed-verb	match_null
86	9	5	her	match	match_null
87	9	6	poem	object	match_null
88	9	8	.	End	match_null
89	9	9	<eos>	End	match_null
90	10	0	The	np	match_null
91	10	1	queen	np	match_null
92	10	2	knows	verb	match_null
93	10	3	they	embed-verb	match_null
94	10	4	followed	embed-verb	match_null
95	10	5	her	match	match_null
96	10	6	edict	object	match_null
97	10	8	.	End	match_null
98	10	9	<eos>	End	match_null
99	11	0	Your	np	match_null
100	11	1	mother	np	match_null
101	11	2	knows	verb	match_null
102	11	3	they	embed-verb	match_null
103	11	4	invited	embed-verb	match_null
104	11	5	her	match	match_null
105	11	6	friends	object	match_null
106	11	8	.	End	match_null
107	11	9	<eos>	End	match_null
108	12	0	The	np	match_null
109	12	1	waitress	np	match_null
110	12	2	remembers	verb	match_null
111	12	3	they	embed-verb	match_null
112	12	4	discussed	embed-verb	match_null
113	12	5	her	match	match_null
114	12	6	salary	object	match_null
115	12	8	.	End	match_null
116	12	9	<eos>	End	match_null
117	13	0	The	np	match_null
118	13	1	mistress	np	match_null
119	13	2	recalls	verb	match_null
120	13	3	they	embed-verb	match_null
121	13	4	accepted	embed-verb	match_null
122	13	5	her	match	match_null
123	13	6	proposal	object	match_null
124	13	8	.	End	match_null
125	13	9	<eos>	End	match_null
126	14	0	The	np	match_null
127	14	1	boy	np	match_null
128	14	2	knows	verb	match_null
129	14	3	they	embed-verb	match_null
130	14	4	envied	embed-verb	match_null
131	14	5	his	match	match_null
132	14	6	toy	object	match_null
133	14	8	.	End	match_null
134	14	9	<eos>	End	match_null
135	15	0	The	np	match_null
136	15	1	knight	np	match_null
137	15	2	knows	verb	match_null
138	15	3	they	embed-verb	match_null
139	15	4	fed	embed-verb	match_null
140	15	5	his	match	match_null
