	sent_index	word_index	word	region	condition
0	0	0	The	np	match_obj
1	0	1	actress	np	match_obj
2	0	2	said	verb	match_obj
3	0	3	they	verb	match_obj
4	0	4	saw	verb	match_obj
5	0	5	her	match	match_obj
6	0	6	performance	continuation	match_obj
7	0	8	.	End	match_obj
8	0	9	<eos>	End	match_obj
9	1	0	The	np	match_obj
10	1	1	bride	np	match_obj
11	1	2	believes	verb	match_obj
12	1	3	they	verb	match_obj
13	1	4	lost	verb	match_obj
14	1	5	her	match	match_obj
15	1	6	ring	continuation	match_obj
16	1	8	.	End	match_obj
17	1	9	<eos>	End	match_obj
18	2	0	The	np	match_obj
19	2	1	countess	np	match_obj
20	2	2	worries	verb	match_obj
21	2	3	they	verb	match_obj
22	2	4	tunneled	verb	match_obj
23	2	5	under	verb	match_obj
24	2	6	her	match	match_obj
25	2	7	castle	continuation	match_obj
26	2	9	.	End	match_obj
27	2	10	<eos>	End	match_obj
28	3	0	His	np	match_obj
29	3	1	wife	np	match_obj
30	3	2	believes	verb	match_obj
31	3	3	they	verb	match_obj
32	3	4	dislike	verb	match_obj
33	3	5	her	match	match_obj
34	3	6	recipe	continuation	match_obj
35	3	8	.	End	match_obj
36	3	9	<eos>	End	match_obj
37	4	0	The	np	match_obj
38	4	1	witch	np	match_obj
39	4	2	believes	verb	match_obj
40	4	3	they	verb	match_obj
41	4	4	drank	verb	match_obj
42	4	5	her	match	match_obj
43	4	6	potion	continuation	match_obj
44	4	8	.	End	match_obj
45	4	9	<eos>	End	match_obj
46	5	0	The	np	match_obj
47	5	1	goddess	np	match_obj
48	5	2	knows	verb	match_obj
49	5	3	they	verb	match_obj
50	5	4	admired	verb	match_obj
51	5	5	her	match	match_obj
52	5	6	likeness	continuation	match_obj
53	5	8	.	End	match_obj
54	5	9	<eos>	End	match_obj
55	6	0	Her	np	match_obj
56	6	1	aunt	np	match_obj
57	6	2	said	verb	match_obj
58	6	3	they	verb	match_obj
59	6	4	know	verb	match_obj
60	6	5	her	match	match_obj
61	6	6	friend	continuation	match_obj
62	6	8	.	End	match_obj
63	6	9	<eos>	End	match_obj
64	7	0	The	np	match_obj
65	7	1	lady	np	match_obj
66	7	2	believes	verb	match_obj
67	7	3	they	verb	match_obj
68	7	4	misplaced	verb	match_obj
69	7	5	her	match	match_obj
70	7	6	dress	continuation	match_obj
71	7	8	.	End	match_obj
72	7	9	<eos>	End	match_obj
73	8	0	The	np	match_obj
74	8	1	princess	np	match_obj
75	8	2	knows	verb	match_obj
76	8	3	they	verb	match_obj
77	8	4	are	verb	match_obj
78	8	5	searching	verb	match_obj
79	8	6	for	verb	match_obj
80	8	7	her	match	match_obj
81	8	8	jewels	continuation	match_obj
82	8	10	.	End	match_obj
83	8	11	<eos>	End	match_obj
84	9	0	The	np	match_obj
85	9	1	girl	np	match_obj
86	9	2	believes	verb	match_obj
