	sent_index	word_index	word	region	condition
0	0	0	The	np	match_obj
1	0	1	actress	np	match_obj
2	0	2	knows	verb	match_obj
3	0	3	they	obj-setup	match_obj
4	0	4	will	obj-setup	match_obj
5	0	5	save	obj-setup	match_obj
6	0	6	her	match	match_obj
7	0	7	friend	object	match_obj
8	0	9	.	End	match_obj
9	0	10	<eos>	End	match_obj
10	1	0	The	np	match_obj
11	1	1	bride	np	match_obj
12	1	2	believes	verb	match_obj
13	1	3	they	obj-setup	match_obj
14	1	4	fulfilled	obj-setup	match_obj
15	1	5	her	match	match_obj
16	1	6	request	object	match_obj
17	1	8	.	End	match_obj
18	1	9	<eos>	End	match_obj
19	2	0	The	np	match_obj
20	2	1	countess	np	match_obj
21	2	2	thinks	verb	match_obj
22	2	3	they	obj-setup	match_obj
23	2	4	carried	obj-setup	match_obj
24	2	5	out	obj-setup	match_obj
25	2	6	her	match	match_obj
26	2	7	orders	object	match_obj
27	2	9	.	End	match_obj
28	2	10	<eos>	End	match_obj
29	3	0	My	np	match_obj
30	3	1	wife	np	match_obj
31	3	2	thinks	verb	match_obj
32	3	3	they	obj-setup	match_obj
33	3	4	will	obj-setup	match_obj
34	3	5	reject	obj-setup	match_obj
35	3	6	her	match	match_obj
36	3	7	application	object	match_obj
37	3	9	.	End	match_obj
38	3	10	<eos>	End	match_obj
39	4	0	The	np	match_obj
40	4	1	witch	np	match_obj
41	4	2	hopes	verb	match_obj
42	4	3	they	obj-setup	match_obj
43	4	4	drank	obj-setup	match_obj
44	4	5	her	match	match_obj
45	4	6	potion	object	match_obj
46	4	8	.	End	match_obj
47	4	9	<eos>	End	match_obj
48	5	0	The	np	match_obj
49	5	1	goddess	np	match_obj
50	5	2	knows	verb	match_obj
51	5	3	they	obj-setup	match_obj
52	5	4	will	obj-setup	match_obj
53	5	5	worship	obj-setup	match_obj
54	5	6	her	match	match_obj
55	5	7	likeness	object	match_obj
56	5	9	.	End	match_obj
57	5	10	<eos>	End	match_obj
58	6	0	My	np	match_obj
59	6	1	aunt	np	match_obj
60	6	2	hopes	verb	match_obj
61	6	3	they	obj-setup	match_obj
62	6	4	tasted	obj-setup	match_obj
63	6	5	her	match	match_obj
64	6	6	pudding	object	match_obj
65	6	8	.	End	match_obj
66	6	9	<eos>	End	match_obj
67	7	0	The	np	match_obj
68	7	1	lady	np	match_obj
69	7	2	thinks	verb	match_obj
70	7	3	they	obj-setup	match_obj
71	7	4	met	obj-setup	match_obj
72	7	5	her	match	match_obj
73	7	6	friends	object	match_obj
74	7	8	.	End	match_obj
75	7	9	<eos>	End	match_obj
76	8	0	The	np	match_obj
77	8	1	princess	np	match_obj
78	8	2	believes	verb	match_obj
79	8	3	they	obj-setup	match_obj
80	8	4	will	obj-setup	match_obj
81	8	5	clean	obj-setup	match_obj
82	8	6	her	match	match_obj
83	8	7	stables	object	match_obj
