	sent_index	word_index	word	region	condition
0	0	0	The	np	match_obj
1	0	1	actress	np	match_obj
2	0	2	said	verb	match_obj
3	0	3	they	obj-setup	match_obj
4	0	4	sold	obj-setup	match_obj
5	0	5	the	obj-setup	match_obj
6	0	6	painting	obj-setup	match_obj
7	0	7	by	obj-setup	match_obj
8	0	8	her	match	match_obj
9	0	9	friend	object	match_obj
10	0	11	.	End	match_obj
11	0	12	<eos>	End	match_obj
12	1	0	The	np	match_obj
13	1	1	bride	np	match_obj
14	1	2	knows	verb	match_obj
15	1	3	they	obj-setup	match_obj
16	1	4	said	obj-setup	match_obj
17	1	5	the	obj-setup	match_obj
18	1	6	delivery	obj-setup	match_obj
19	1	7	for	obj-setup	match_obj
20	1	8	her	match	match_obj
21	1	9	roommate	object	match_obj
22	1	11	.	End	match_obj
23	1	12	<eos>	End	match_obj
24	2	0	The	np	match_obj
25	2	1	countess	np	match_obj
26	2	2	believes	verb	match_obj
27	2	3	they	obj-setup	match_obj
28	2	4	sold	obj-setup	match_obj
29	2	5	the	obj-setup	match_obj
30	2	6	painting	obj-setup	match_obj
31	2	7	by	obj-setup	match_obj
32	2	8	her	match	match_obj
33	2	9	acquaintance	object	match_obj
34	2	11	.	End	match_obj
35	2	12	<eos>	End	match_obj
36	3	0	My	np	match_obj
37	3	1	wife	np	match_obj
38	3	2	thinks	verb	match_obj
39	3	3	they	obj-setup	match_obj
40	3	4	included	obj-setup	match_obj
41	3	5	the	obj-setup	match_obj
42	3	6	instructions	obj-setup	match_obj
43	3	7	for	obj-setup	match_obj
44	3	8	her	match	match_obj
45	3	9	appliance	object	match_obj
46	3	11	.	End	match_obj
47	3	12	<eos>	End	match_obj
48	4	0	The	np	match_obj
49	4	1	witch	np	match_obj
50	4	2	believes	verb	match_obj
51	4	3	they	obj-setup	match_obj
52	4	4	followed	obj-setup	match_obj
53	4	5	the	obj-setup	match_obj
54	4	6	recipe	obj-setup	match_obj
55	4	7	for	obj-setup	match_obj
56	4	8	her	match	match_obj
57	4	9	potion	object	match_obj
58	4	11	.	End	match_obj
59	4	12	<eos>	End	match_obj
60	5	0	The	np	match_obj
61	5	1	goddess	np	match_obj
62	5	2	hopes	verb	match_obj
63	5	3	they	obj-setup	match_obj
64	5	4	recited	obj-setup	match_obj
65	5	5	the	obj-setup	match_obj
66	5	6	prayers	obj-setup	match_obj
67	5	7	for	obj-setup	match_obj
68	5	8	her	match	match_obj
69	5	9	priests	object	match_obj
70	5	11	.	End	match_obj
71	5	12	<eos>	End	match_obj
72	6	0	My	np	match_obj
73	6	1	aunt	np	match_obj
74	6	2	thinks	verb	match_obj
75	6	3	they	obj-setup	match_obj
76	6	4	delivered	obj-setup	match_obj
77	6	5	the	obj-setup	match_obj
78	6	6	package	obj-setup	match_obj
79	6	7	for	obj-setup	match_obj
80	6	8	her	match	match_obj
