	sent_index	word_index	word	region	condition
0	0	0	The	np	match_obj
1	0	1	actress	np	match_obj
2	0	2	knows	verb	match_obj
3	0	3	they	verb	match_obj
4	0	4	talked	verb	match_obj
5	0	5	about	verb	match_obj
6	0	6	her	match	match_obj
7	0	7	performance	continuation	match_obj
8	0	9	.	End	match_obj
9	0	10	<eos>	End	match_obj
10	1	0	The	np	match_obj
11	1	1	bride	np	match_obj
12	1	2	believes	verb	match_obj
13	1	3	they	verb	match_obj
14	1	4	lost	verb	match_obj
15	1	5	her	match	match_obj
16	1	6	ring	continuation	match_obj
17	1	8	.	End	match_obj
18	1	9	<eos>	End	match_obj
19	2	0	The	np	match_obj
20	2	1	countess	np	match_obj
21	2	2	believes	verb	match_obj
22	2	3	they	verb	match_obj
23	2	4	have	verb	match_obj
24	2	5	burned	verb	match_obj
25	2	6	her	match	match_obj
26	2	7	castle	continuation	match_obj
27	2	9	.	End	match_obj
28	2	10	<eos>	End	match_obj
29	3	0	My	np	match_obj
30	3	1	wife	np	match_obj
31	3	2	thinks	verb	match_obj
32	3	3	they	verb	match_obj
33	3	4	have	verb	match_obj
34	3	5	met	verb	match_obj
35	3	6	her	match	match_obj
36	3	7	parents	continuation	match_obj
37	3	9	.	End	match_obj
38	3	10	<eos>	End	match_obj
39	4	0	The	np	match_obj
40	4	1	witch	np	match_obj
41	4	2	believes	verb	match_obj
42	4	3	they	verb	match_obj
43	4	4	were	verb	match_obj
44	4	5	affected	verb	match_obj
45	4	6	by	verb	match_obj
46	4	7	her	match	match_obj
47	4	8	hex	continuation	match_obj
48	4	10	.	End	match_obj
49	4	11	<eos>	End	match_obj
50	5	0	The	np	match_obj
51	5	1	goddess	np	match_obj
52	5	2	believes	verb	match_obj
53	5	3	they	verb	match_obj
54	5	4	sing	verb	match_obj
55	5	5	praises	verb	match_obj
56	5	6	to	verb	match_obj
57	5	7	her	match	match_obj
58	5	8	divinity	continuation	match_obj
59	5	10	.	End	match_obj
60	5	11	<eos>	End	match_obj
61	6	0	My	np	match_obj
62	6	1	aunt	np	match_obj
63	6	2	knows	verb	match_obj
64	6	3	they	verb	match_obj
65	6	4	enjoyed	verb	match_obj
66	6	5	her	match	match_obj
67	6	6	cooking	continuation	match_obj
68	6	8	.	End	match_obj
69	6	9	<eos>	End	match_obj
70	7	0	The	np	match_obj
71	7	1	lady	np	match_obj
72	7	2	believes	verb	match_obj
73	7	3	they	verb	match_obj
74	7	4	trespassed	verb	match_obj
75	7	5	into	verb	match_obj
76	7	6	her	match	match_obj
77	7	7	house	continuation	match_obj
78	7	9	.	End	match_obj
79	7	10	<eos>	End	match_obj
80	8	0	The	np	match_obj
81	8	1	princess	np	match_obj
82	8	2	worries	verb	match_obj
83	8	3	they	verb	match_obj
84	8	4	stole	verb	match_obj
85	8	5	her	match	match_obj
86	8	6	her	continuation	match_obj
